radius_m,flux_radius_m,phi_rad,theory_delta_R_per_alpha_m,fit_delta_R_per_alpha_m,theory_delta_Z_per_alpha_m,fit_delta_Z_per_alpha_m
0.011906558436971536,0.011906558436971536,1.3008157081270237,0.0021910957700457113,7.382538933850026e-05,0.0003517678825235352,7.267837360373232e-06
0.011906558436971536,0.011906558436971536,1.3130875544301088,0.0021986051827124114,7.625070632606206e-05,0.0003390215930873988,7.250755461235486e-06
0.011906558436971536,0.011906558436971536,1.325359400733194,0.002205711339947523,7.86117250720955e-05,0.00032580193158329127,7.186948393978456e-06
0.011906558436971536,0.011906558436971536,1.337631247036279,0.00221280845526948,8.090746718723473e-05,0.00031257258542844726,7.0802642222937415e-06
0.011906558436971536,0.011906558436971536,1.3499030933393643,0.002219001379275942,8.313647529550659e-05,0.00029837477419996343,6.934251487737208e-06
0.011906558436971536,0.011906558436971536,1.3621749396424494,0.0022251943032824046,8.529666195223347e-05,0.0002841769629714798,6.75210562167878e-06
0.011906558436971536,0.011906558436971536,1.3744467859455345,0.0022309473928739682,8.738518898728408e-05,0.00026955077071796245,6.53664270756653e-06
0.011906558436971536,0.011906558436971536,1.3867186322486196,0.0022362148319657474,8.939838346125186e-05,0.0002544515744159704,6.2902998192774745e-06
0.011906558436971536,0.011906558436971536,1.3989904785517047,0.002241482271057527,9.133169502692494e-05,0.0002393523781139783,6.015159792965717e-06
0.011906558436971536,0.011906558436971536,1.41126232485479,0.0022458812234118423,9.31796975513996e-05,0.0002234934894381527,5.712997061133841e-06
0.011906558436971536,0.011906558436971536,1.423534171157875,0.002250225323972213,9.49361362304254e-05,0.00020758662019134845,5.385340181454629e-06
0.011906558436971536,0.011906558436971536,1.4358060174609601,0.0022542001989116654,9.6594019165117e-05,0.0001913972333416475,5.033545961723985e-06
0.011906558436971536,0.011906558436971536,1.4480778637640452,0.0022576347436741645,9.814575056870571e-05,0.00017479440609746358,4.658879656026491e-06
0.011906558436971536,0.011906558436971536,1.4603497100671303,0.0022610692884366635,9.958330081443395e-05,0.0001581915788532797,4.2625956172307e-06
0.011906558436971536,0.011906558436971536,1.4726215563702154,0.002263729755565705,0.00010089840676085016,0.00014109559512337462,3.846013016247351e-06
0.011906558436971536,0.011906558436971536,1.4848934026733007,0.0022662758703170765,0.00010208279466019053,0.00012392675873080592,3.4105817864574713e-06
0.011906558436971536,0.011906558436971536,1.4971652489763858,0.0022685306808252793,0.00010312841632765867,0.00010661688634423105,2.9579347616133153e-06
0.011906558436971536,0.011906558436971536,1.509437095279471,0.0022702114506190025,0.00010402768919162144,8.90290900871141e-05,2.4899230153896307e-06
0.011906558436971536,0.011906558436971536,1.521708941582556,0.002271892220412725,0.00010477372992380825,7.144129382999715e-05,2.0086326037860935e-06
0.011906558436971536,0.011906558436971536,1.533980787885641,0.0022728945819949025,0.00010536057213843535,5.3646814081084256e-05,1.5163821906206185e-06
